capacity,direct_rate,closing_hour_95pct
1,0.41456582633053224,20.733333333333334
2,0.6767507002801121,21.066666666666666
3,0.8521008403361344,21.283333333333335
4,0.9551820728291317,21.316666666666666
5,0.9915966386554622,21.35
6,0.9994397759103641,21.35
7,1.0,21.35
8,1.0,21.35
9,1.0,21.35
10,1.0,21.35
11,1.0,21.35
12,1.0,21.35
13,1.0,21.35
14,1.0,21.35
